GeoFips,GeoName,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3
15000,Hawaii,67637.4,68157.3,68758.9,69658.3,69765.6,70319,70744.6,70708,70348.1,70576,71608.4,72186.3,72219.8,72659,71711.5,70134.4,69409.1,69139.2,68777.4,69164.2,70035.9,70480.5,71657.2,72126.5,71956.7,71980.1,71875.6,73132.5,73286.6,73790.6,74018.4,73611.2,74640.8,73995.5,74227,74313.1,73745.2,74246.1,74901.7,75069.3,76457.1,76997.6,77333.6,77918.1,78459.1,78842.3,79178.5,79894,80794.4,80904.1,81112.8,81346.7,81932.6,82528.6,82045.1,82309.1,82329.9,82130.6,82441.8,82983.4,81068.5,70674.2,75658.3
16000,Idaho,54316.3,55114.8,56093.8,55998.6,57441.5,58113.5,57062.8,57777.8,58081.1,58313.3,58731.7,59740.4,59628.5,60507.6,60216.7,58626.6,57803.2,56574,57051.8,56862.9,57640.6,57639.2,58129.3,58402.4,57496.8,57733.7,57656.8,58413.9,57708.1,57822.2,58057.2,57532.7,58910.6,59768.6,60244.1,60944.1,60754.3,61285.9,62003.2,62609.5,63470.8,63077.2,63295,63099.7,64649.4,65313.1,66214.6,66395.9,66905.2,68223.5,68820,69699.9,71737.7,72239.5,72488.2,73356,73808.4,74402.5,75256.6,76280.9,75911.4,68821,75295.8
17000,Illinois,686380.1,686430.9,690693.7,690585.7,704552.7,705693.4,704902.4,709188.1,708845.4,711732.9,712580.8,718482.8,706047.2,709440.1,706313.4,685367.1,679494.4,680725,682906.9,690601.7,683930.4,691143.7,699426.1,701507.6,701087.6,705959.5,705112.4,714661.3,723563.3,724713.7,720520.5,714728.4,721398.1,716749,717931.2,723610.6,722470.7,734821.4,742187.9,744025.2,743695.8,747003,751340.1,748628.1,745046.6,745643.5,743415.5,751374.3,747671.1,750061.8,754722.1,757381.8,767710.4,767965.3,771238.4,771610.8,773419.4,769635.5,774889.3,774597.9,762096.5,697776.3,751378.3
18000,Indiana,282846.2,285223.7,287013.7,287348.2,290108.3,291081.2,291925.3,293705.9,293189,298210.6,301188.8,305075.1,303822.5,304172.4,298567.2,287680.5,274751.5,274155.7,276676.1,285470.9,289610.4,295012.9,298576,298904.7,295791.6,296148.5,295527.7,299229.3,299064.7,299678.1,298141.5,294380.1,304726.2,301545.4,304568.2,305027.3,309454.4,314797.5,316641,314430.6,311153.9,312997.9,311333,311916.8,312408.3,315247.6,317973.2,320553.3,320974.3,321880,322649.6,326373.4,331119.2,331035.2,332306.5,334166.5,334871.2,336202.2,338925.1,340545.7,335994.7,304019.2,332611.9
19000,Iowa,143282.7,143949.7,145060.7,143327.9,145094.4,146275,145463.4,147440.7,149938,152857.8,153098.8,153970.2,153070.1,152162.9,148999.5,144709.4,143348.3,144638.7,147065.3,149842.2,148128.3,150138.3,150765.7,151364.5,150276.8,150478.4,151534.4,156323.3,157598.8,159677,158500.6,155578,157640.3,156566.5,158200.3,159202.8,160575.2,165972.1,167990.5,168027.7,169423.4,170069.3,171165.2,171525.7,169536.2,168345.3,170148.4,169925.4,169704.2,169201.3,167876.7,169123.9,172113.1,173435,173166,172664.6,172944.6,173210.5,174246.9,173659.8,172778.4,159023.1,171842
20000,Kansas,121819.5,122424.3,123351.4,121707.3,127980,128958,128488.1,130233.5,133442.4,135179.6,135909.9,137765.8,139306.2,141035,139694.4,135254.5,133309.5,133021.3,133482.3,135160.3,131971.4,134203.5,136604.7,137948.6,136747,139410.6,139083.8,139886.7,145464.4,142677.1,137745,137170,138788.1,139757.4,140245.8,142631.8,139108.2,142938.6,146522,147957.2,145083.2,147715.5,148883.3,150037.1,149918,152084.4,153506.7,154537.1,154372.5,154203.4,154238.2,155012.2,157086.1,158515.5,158726.7,158442.5,159201.5,159771.4,160148.9,161115.6,159673.1,145906.7,157061.2
21000,Kentucky,165864.1,168441.7,170092.5,170963.1,173240.2,174324.7,173542.6,172924.3,170153.6,171249.1,171674.7,174323.7,174084.6,175611.6,171922.3,167350.3,164972.3,163397.7,164679.7,168152.8,167496,171828.4,174834.6,174907.6,172189.8,173262.7,173809.9,177548.5,176751.1,177307.1,176421.4,174812.8,180663.3,179011.1,179511.4,178810.8,178277.2,180316.4,180641.6,180318.8,180945.5,182947.7,182842,183216.3,181394.9,183095.4,184624.5,184704.8,184102.7,183675.3,184500.1,186125,186509.2,187269.2,187554.1,188696.9,189572.5,190026,191287.3,192360,189907,170843.7,186240.4
22000,Louisiana,245979.3,248901.1,244426.8,243602.8,244602,243884.5,242410.5,242617.1,235580.7,234147.7,233951,234408.1,232658.5,235378.6,235969.6,237865.9,238396.9,236921.4,238865.7,241502.9,246284,249210,250534.9,245396.9,237146.5,234024.7,231181.9,234845.6,236978.1,237499.8,231246.1,228200.9,228136.4,225324.5,225772.7,226147.8,226367.2,232483.1,235512.8,236621.8,233161.3,230908.4,229960,227706.4,225930.4,225398.6,224509.9,225608.3,227852.4,228623.5,229075,229726.3,233518.7,234649.8,235046,236872.9,238611.5,238443.3,240978.6,241835.4,234288.9,213207.6,229019.5
23000,Maine,53293,53432.4,53587.8,54112.8,54178.6,54527.5,54190.7,54219.2,53565.3,54107.6,54202.3,54192.9,54262.8,54408.7,54139.7,52892.1,52417.3,52815.4,53346.8,53722.8,53591.2,53855.6,54154.4,53559.1,53091.8,52900,52749.1,53611.9,53211.4,53486.6,52883.6,51884.9,52684.1,52096.9,52328.6,52715.8,52719.2,53282,53671,54108.2,53144.5,53845.8,54003.1,54523.8,54510.9,55204.9,55075.4,55561.1,55712.3,55674.3,56102.9,56369.3,56998.8,57324.3,57569.8,57317.7,58383.3,58325.8,58987.8,59476.6,58487.6,52632.3,56972.6
24000,Maryland,300756.5,303810.4,309197.3,310740,310766.4,310789.4,311914.2,312968.3,309981.2,312799.8,311679.9,313345.1,316147.9,317767.6,316203.7,312776.7,310879,312997.4,315701.8,319371.4,323242.6,325518.4,327668.8,331925.1,330427.9,334149.8,334684.4,336593.2,337053.9,333835.5,335805.4,331527.3,334998.9,332801.5,334679.4,335244.3,334915.2,339938.7,343161.9,341949.5,346381.2,347445.4,350005.5,352755.1,355727.3,358569.6,361192,364461.1,363564.9,364549.9,366162.6,369150.5,368137.2,369294.5,368786.4,369023.3,371303.2,372960.5,374664,377229.3,373780,344685.5,367486.6
25000,Massachusetts,388427,389352.8,393521,394548.5,396314.6,397633.7,396171.8,402990.6,402427,405958.2,410595.8,415118.8,414298.2,417439.7,412291.1,404738,404920.7,405680.7,408905.1,412780.1,416978.4,422765.8,429492.8,430877.9,425620.1,439666.2,433708.3,441637.4,441524.3,445274.8,446506,444607.6,444171.8,444088.1,447713.9,448787.9,444362.9,449348,457112.8,464289.1,466865.4,472666.5,471805.2,476579.6,474323.5,477587,482519.1,482309.9,484078.3,488372.2,493551.4,497494.7,503513.7,507673.4,509108.6,510928.3,517131.2,518750.6,521749.5,522215.3,516459.9,469669,504488.6
26000,Michigan,451063.6,452046.8,449223,450210.2,444284.1,445623.2,443601.3,440737.1,443904.4,442956.1,442571.7,435049.4,426752.7,423863.3,414039,401850.8,376041,378219.1,379342.3,386590.3,386758.2,399788.2,409175.4,408045.3,408694.1,407648.7,408924,420441.9,418168.6,418743.5,419511.3,418545.7,424675.4,423895.7,426120.9,426617.3,423841,430956.9,434442.5,434502,437734.3,442123.1,444153.1,445139.9,445512,451582.7,451345.9,455663.2,455027.9,456275.9,456730.3,461332,466863.5,467842.8,468499.3,468106.4,469147.6,469482.7,473470.1,474492,464779.9,413032.1,452637.8
27000,Minnesota,280008.2,280826.4,285838.1,283277.4,283516.2,285363.6,280775.5,280668,280043.8,284526.6,284265.9,286594.9,287245.2,287258.9,289838.1,280030.8,274659.5,274392.5,275169.7,279911,278938.7,283004.8,287177.8,293863.9,289008.2,294243,291777.7,294071.7,296143.4,295978.3,296942.3,296026,298957.4,300803,305998.6,307131,306831.4,311939.5,315575.5,313989.4,316458.3,315457.5,316748.3,318789.3,317807.7,319371.4,324621.8,326119.1,328768.2,327256.3,325569.9,329075.7,334381.4,336989.2,338546.3,338946.7,338981.1,339517.4,341818.2,343849,337866.2,307558.5,332320.1
28000,Mississippi,94242.4,94475.5,95113.9,98167.8,96628.4,98160.7,98187.6,98917.2,98723.4,98979.6,100966.1,102876.7,104209.2,106003.5,104950.8,102723.5,100793.4,100055.9,99287.3,99002.3,99563.9,100274.7,100445.4,99889.3,98485.9,98538.8,98419.7,99617,101083.6,100507.1,99291.9,97582.9,99976.5,98394.5,100507.4,98947.2,98525.5,100252,99632.4,99594.8,99555.9,100098.9,100316.1,100083.5,100847.8,100270.2,100028.4,100501.8,101437.5,100691.5,100906.8,101251,101510.4,102292.1,102126,102318.4,101956.7,102082.4,102924.3,103662.2,102683.4,92942.6,101006.5
29000,Missouri,261044,262983.6,263990.8,265111.2,264668.7,266364.6,263492.7,263158.2,259537.1,263873.1,265916.9,268884.4,269025.1,274370.3,269850.6,273672.4,264701.8,263726.7,265122.7,265938.8,268455.7,269126.3,269718.4,268931.2,264932,265930.2,265729.2,268427.1,270109.8,269692.6,267996.4,267649,272422.4,271089.8,271299.7,271091.7,267792.9,271804.2,275069.9,276480,276534.6,277142,277074.3,274515.7,276087.2,275536.8,275353.6,277866.1,276445.9,278832.1,279706.2,282073.1,282684.4,285606.9,285386.8,285107.1,287010,286177.1,288072,289378.1,285612,259263.5,280340.8
30000,Montana,36823.5,36764.8,37082.7,37641.5,37749.7,38224.7,38742.5,39178.9,39924.1,40454.4,40478.6,40750.6,40549.3,40333.1,40085.6,39482.8,39519.1,39137.4,39604.6,39291.4,40375.7,40460.1,40647.8,40896.6,41139.8,41294.2,41315.5,42295.5,42212.1,41917.8,42054.2,41982.1,42421.4,42330,42448.1,42519.1,42617.2,43154.1,43535.7,43833.5,45040.6,45227,45316.1,44586.1,44748.8,44127.4,44334.8,45111.9,45180.6,45774.7,45563.4,45403.9,46324.4,46621.2,46508.7,47055.7,47310.4,47518.4,48211.2,48625.3,48025.2,43805,46847
31000,Nebraska,87448.4,88373.8,89567,90940.2,90240.1,93327.9,91077.8,91495,93111,93176.5,93100.1,94937.1,94517.4,96056.2,94766.5,90940.3,93775.8,93204.5,94365.2,96028.2,95715.7,97898.5,98588.7,99117.3,102074.1,102177.5,101727.2,104761.4,102330.3,103591,102188.7,102311.3,104604.2,103845.8,103996.9,103452.4,105952.6,107632.4,107646.8,108345.7,110040.6,111073.2,111169.6,110728.2,110049.7,110540.2,111878.9,113978.2,112735.5,113978.8,113898.5,114404,115271.3,114950.9,114460.3,115669,115303.5,116603.3,118246,119428,118385.2,107878.8,115887.2
32000,Nevada,135633.9,139612.3,139351.5,140588,143566.7,145437.9,144402.3,144999.6,144065.8,143455.5,143898.8,145840.1,142010.7,139709.3,138558.9,134075.9,129726.2,126981.8,125678.9,126048,126438.1,128491.2,130092.8,130493.3,129037,131019.9,129571.3,129364.1,128929.8,128093.3,127593.8,126539.3,128438.9,127424.8,128114.1,129387.1,128567.2,128648.8,129432.9,130971.9,132440.9,134748.2,135631,136748.7,136709.7,136994.7,140886.2,139965.1,142205.9,142933.5,144909.1,144315.2,148151.5,148924.1,149691.9,151884.3,152088.2,152758.8,154518.2,155549.2,153612.4,133952.7,148792.5
33000,New Hampshire,63902.1,64326.8,64624.5,64546.7,65183.8,65112.7,65656.6,67754.4,65155.1,66512.1,65413.4,65617.9,65800.6,65527,65093,63420.6,63521.4,63501,65251.1,65404.9,65188.8,66856.4,66914.3,66882.6,65905.7,66952.6,66654.1,67924.8,67095.7,67357.2,67780.1,68309.6,68213.9,67849.4,68104.1,68330.4,67916.4,69533.8,69537.3,71038.3,70026.8,71391.6,71341.4,72916.5,72358.2,72985.5,73462.2,73285,73422.5,73561.3,75041.6,74989,75959.1,76129.9,76433.4,76138.6,77656.1,77102,77153.8,77049.4,76630.5,68288.4,74396.5
34000,New Jersey,509324.6,511090.2,515745.1,516303.7,520164.6,526247.4,523099,525859.1,520313.6,526488.1,526465.4,533376.9,538887.7,538327.2,533830.8,519852.6,510201.1,506920.9,511084.2,515123.8,517294.6,515525.9,517714.4,515067.1,506377,510205.8,509523.7,516986.8,520654.6,518668.6,522756.7,516196.2,530374.5,525806.5,525274.4,526104.2,521418.5,524126.6,525817.4,526319,532833.1,535671.9,536899.9,535733.1,540492.4,538903.8,540502.9,541622,535106.9,539262.9,543072,545184.8,544460.3,548025.2,550326.4,553191.4,553977.1,554616.1,558114,560216.6,555552.2,497613.7,538512.1
35000,New Mexico,83930.8,84259.9,83411.4,83573.3,85561.8,85664.4,85784.1,86398.9,85854.3,86623.2,87212.7,86207.8,84870.7,84953.4,85507.4,88420.2,88372.2,87232.5,87525.1,87417.3,86548.2,86334.3,86712.2,88620.6,85606.8,87026.1,87431.6,88835.4,88018.8,88880.1,87485.2,86195.1,86579.7,86322.4,86387.8,87209.3,86905.6,88400.9,90084.1,92098.2,91808.7,91442.2,91778.2,91688.9,91944.2,91691.1,91340.9,91879.2,91508.3,91638.1,92002.5,91940.5,92873.7,93593.5,93896.1,95120.5,96822,98204.1,99808.2,100228.6,99030.8,91126.5,96089.7
36000,New York,1149324.5,1161050.6,1173769.1,1186416.4,1204384.4,1195324.3,1187107.4,1199963,1237931.7,1199973.3,1193769.3,1182336.8,1196012.6,1179825.8,1181960.6,1153861.3,1171949.8,1223081.5,1237292.8,1252699.8,1267852,1285548.5,1266068.1,1252419.3,1278289,1264859.4,1261073.7,1277844.8,1297972.3,1318357.8,1331269.2,1346003.8,1313579.1,1321719.4,1327387.5,1339274.1,1330951.5,1340372,1354218.9,1364696.8,1364384.4,1379912.4,1381233.8,1363399,1398438.6,1401470.2,1391395.3,1399590.7,1422244.9,1411354.5,1420018.3,1446004.1,1458221.8,1468729.1,1475062.3,1466294.1,1483711,1492559.1,1490835.2,1495608.7,1472028.6,1315024,1404848.2
37000,North Carolina,402902.9,403129,407391.8,411752,428580.3,431655.2,431467.4,435481.8,437892.1,435256.8,434523.6,439396.6,448461.8,451605.8,449026.8,437356.8,418952.6,423875.2,430150.8,436996.6,430092.2,432202.7,433615.8,439756.1,436945,442169.3,436553.7,438025.7,443318.5,438383.9,439903.9,436552.3,441335.5,442286.8,447697.2,449118.8,452209.2,453068,457368.3,458537.4,466769.5,470194.6,470784.7,470393.7,474710.5,474387.8,477449.5,483547.5,485660.2,486750.7,488842.1,494853.5,497314.5,503155.9,502254.5,505095.3,506881.6,509507.3,513146.8,516623.8,512065.9,467579.4,504659.2
38000,North Dakota,28990.4,29151.2,29142.8,29381.4,29835.1,30513.2,30383,30753.8,31107.8,31466.4,31875.4,32711.9,33703,34121,34743.6,34649.9,35081.5,34844.2,35638.6,35624.3,36461.4,37678.1,38436.8,39323.6,39569.6,40897.4,42447.4,45919.6,48765.5,51786.6,52801.3,53145.3,51225.9,51865.2,53090.4,53360.5,54299.9,56335.5,57259,58324.1,57045.8,54917.5,54363.1,53943.1,52251.6,50780.9,50897.6,50619.1,50979,51693,51217.2,51275.7,52763.7,53402.3,53878.3,53847.1,53836.8,54045.7,53935.9,53902.4,53687.7,49524.9,52089.7
39000,Ohio,539674,543135.4,547260.7,546955.5,542326,543048.1,541378.7,539721.8,541209.4,541118.1,542446.7,541931.4,541116.4,543221.7,535316.1,512760.4,510835.5,503435.7,504203,508291,511129.5,517321.5,524647,528104.6,529240.1,533365.4,537145.1,546582.5,539979.6,543015.7,542065.8,538468.4,547480,546648.6,551497.3,557143.2,558649.8,569378.4,577956.9,579713.7,577551.3,580068.1,578806.7,583346.8,580248.9,584164.5,586547.5,589218,589662.3,591633.8,594012.4,595594.4,600599.8,604794.4,609132.7,610039.3,612953,612732.4,616955.4,619256.7,610345.8,552235,597309
40000,Oklahoma,141886.3,143532.2,143631.1,142249.8,157645.4,151861.7,150178.2,150242.3,151862.4,154433.9,157492.7,157552.8,157459.5,160623,161239.5,166426.1,162188.4,158969.9,159658.9,156669.1,156464.3,159709.1,160986.6,160979.8,159254.7,163435.3,167171.7,170977.1,172321.5,173711.2,172625.7,174296.8,176257.4,175660.5,175993.4,179539,179479.5,183703.7,189515.3,192529.5,194191.1,191011.3,194034.2,193714.2,190802.8,188546.8,186918,185985.5,186772.3,188666.6,188395.4,188794.5,191198.7,192463.5,193257.7,195899.1,198134.5,197739.2,198518.9,197208.9,193501.4,176264.4,186075.7
41000,Oregon,156752.8,156984.9,158869.9,160867.2,166218.1,166645,168528.1,170251.1,167485.5,169576.5,172442.6,174561.7,174220.7,175587.4,175225.4,170174.7,168558.5,166124.1,166106.4,165537.5,169423.9,167817.9,169128.4,169684.8,173190.7,173725.5,172643.4,175965,175883.6,175429.3,174781.7,171615.8,174113.9,174667.4,176403.4,178061.7,177398.6,180743.5,183783.8,185093.9,189005.3,190512.2,193660.9,194278.4,199153.3,200276.7,200954.4,203853.4,205692.1,208576.8,210470.4,213586,216680.5,218211.7,220587.9,221639.6,223456.1,223805.2,225674.6,228411.3,226119.9,205399.2,221433.2
42000,Pennsylvania,581217.3,584721.3,590529.2,592628.8,585572.9,589733.1,593666.5,596038.2,599970.5,604157.2,614159.7,622853.3,622639,632163.8,625870,611599.9,600701.4,599804.1,602518.5,617043.4,611213.6,619219.5,627420.2,630706.8,621432.5,629322.5,632590.2,640281.1,639533.8,642078.1,643237,637803.4,646367.3,649548.5,651515.3,655777.9,654587.2,663992.8,672077.1,675566,680237.3,681620.4,682413.3,685837,688133.3,689204.7,694287.8,693639,690972,692116,698880.3,700274.9,702953.7,707071.7,711415.2,713986.8,721034.6,724005.3,728568.4,731055.1,720203.8,649251.3,700449.9
44000,Rhode Island,51586.1,52298.6,52302.9,52956.6,52568.2,53714.6,54247.9,53439.1,53128.9,52144.1,51728,50975.6,50968.3,50561,50141.7,49976.8,49402,49972.1,50552.7,50942.5,50829.2,51280.2,51664.5,51685.1,50393.3,51707,51353.1,51597.9,51746.5,51795.1,51659.7,51228.5,52010.6,51424.7,51654,51626.8,51694.4,51782.1,51930.8,52614.6,52653.6,53004.8,52834,53339,52610.6,52869.3,53398.5,53242.6,52098.6,52498.9,53191.9,53121.3,52775.1,53152.2,53042.9,53571.9,53918.3,53697.5,53375.8,53680.3,52967.7,48022.2,51809.4
