GeoFips,GeoName,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3
0,United States,14771602,14839782,14972054,15066597,15267026,15302705,15326368,15456928,15493328,15582085,15666738,15761967,15671383,15752308,15667032,15328027,15155940,15134117,15189222,15356058,15415145,15557277,15671967,15750625,15712754,15825096,15820700,16004107,16129418,16198807,16220667,16239138,16382964,16403180,16531685,16663649,16616540,16841475,17047098,17143038,17305752,17422845,17486021,17514062,17613264,17668203,17764388,17876179,17977299,18054052,18185636,18359432,18530483,18654383,18752355,18813923,18950347,19020599,19141744,19253959,19010848,17302511,18596521
1000,Alabama,179846.1,181876.3,181738,184023.8,184398.3,185547.7,185560,185842,184657.4,186079.2,187496.9,187764.3,186746.8,187583.5,186123.5,180668.5,178462.7,178509.9,179061.1,179539.9,179614.4,181898.6,185364.5,185180.5,183881.2,184889.9,185700.5,188196.1,187565.7,187823,185594.9,185231.9,189326.8,188505.6,189814.6,187609.7,185040.5,187596.5,188793.6,188841.6,188020.3,189664.3,190268.1,189762.6,190472.2,191585.3,191506.9,192529.2,193125.5,192926.2,193380,195340.2,197154.4,197704.5,197936.2,199419.7,199819.5,200006.6,201415.8,202075.5,200425.9,183585.7,197739.6
2000,Alaska,44775.5,45197.5,44835.4,45450.3,46707.6,48252.6,48814.4,50379.2,50744.2,51636.2,51542.5,50653.1,49481.7,48445.7,50483.8,55152.8,57293.5,56661.1,55201.2,54486.5,53196.2,54431.8,54776.7,54471.3,52854.8,54074.9,54789.7,57171.2,57093.6,58639.7,58173,56963.9,56207,54228.6,54563.6,53993.2,53077.2,53290.9,53552.4,54001.9,54513.6,53918.1,53830.5,53799.1,54245.1,53348.1,52824.4,52738.3,52817.7,52731.2,53108.2,52646.4,52871.3,52919.4,52878.7,53045.5,53046.5,53031.1,53503,53440.2,52615.9,47460.3,50890.9
4000,Arizona,255931,261074.4,266993.9,268190.2,274004.3,274871.2,278152.9,281727.4,281852.7,284289.8,287169.4,285935.1,283803.1,281617.2,277282.8,266727.2,258481.7,253989,251940.2,255216.8,252585.7,256310.8,259009.7,261681.2,260639.9,261620,262487.7,267828.8,267784.9,268817.2,267627,268043.4,269143.5,268989,270037.1,271700.2,271951,273310.4,275544.6,275645.5,279574.9,281709.8,281499.6,284958,286436.3,290018.5,293655.5,294928.1,298506.6,299757.4,304287.1,305919.9,311712.7,312751,314836.7,316763.9,318965.8,321335.6,325081.4,329007.5,326367.3,303451,324679.8
5000,Arkansas,103269.3,103956.6,104780.7,107027.6,106559.6,108033.2,107154.2,106589.3,104172.1,104979.8,105340,110598,105463.2,107207.9,106457.1,104564.6,104491,100904.4,101782.6,102876.2,102007.9,104978,106882.3,107026.3,106796.9,106977.3,107183.2,108325.1,108927.7,108340.9,107248.9,106357.7,110322.3,109965.4,110735.8,110182,110510.1,111574.5,112096.9,112738.1,111911.2,112640.5,113615.6,113588.1,113271.2,113455.7,113122,114112.5,114678.1,114822.3,114580.1,115722.2,116118.2,116700.1,116773.8,117203,116707.4,117149.8,117685.9,118245.3,117049.6,107857.2,115567.7
6000,California,1957710.6,1974674.8,2002358.9,2020201.7,2068995.2,2062341.5,2073004.4,2084755.5,2075803.3,2090233.1,2107340.5,2138682.4,2103856.9,2142702.6,2135739.3,2060085.7,2051789.4,2020838.1,2011201.8,2018703.3,2039276.4,2044921.6,2050435,2093328.5,2086244.5,2092379.1,2085234.1,2099489.6,2127739.5,2131359.4,2143416.6,2173842.9,2173737.7,2194607,2226667.6,2283429.5,2266757.6,2298574.3,2344952.6,2355040.3,2403036.5,2441494.7,2449234,2455702.5,2494147.1,2498404.2,2532052.3,2551930.8,2583442.6,2612385.8,2641495.5,2675934.5,2680610.4,2703367.1,2717531.8,2734358.3,2758794.6,2792062,2802897.8,2848267.1,2817221.7,2562916.9,2742917.6
8000,Colorado,249989.5,251443.1,253094.9,250538.8,255773.1,254216.5,257310.3,257309,258775.8,263027.8,265673.7,271180.9,267585.8,269649.4,269152.1,265472.2,264666.1,260176,262049.6,262961.5,262102.8,263014.1,265808.5,270351.7,267080.1,267819.1,268260.4,271054,271959.9,273726.7,273186.3,275502.6,280138.3,280389.5,283575,286319.2,288159.3,291881.1,296587.7,302620,305883.2,307713.1,309960.6,312038.8,310681.2,312917.8,317699.6,321873.2,323179,325580.4,330620.9,334660.6,339705.9,341981,343228.4,346546.8,350595.9,354001.9,359155.5,361367.3,360166.6,331687,354244.5
9000,Connecticut,240622.1,242116.3,241800.5,244982.3,252546.7,250172.2,250315.3,253484.3,261483.1,261604.1,261727.2,259157.8,271741.2,266600.6,256334.5,242863.7,250015.8,247869.5,247663.7,248899.2,247104.2,248892.9,248906.6,246603.7,240675.6,243417.2,241812.1,243388.2,244235.1,244749,243883.8,243589.7,240169.7,238128.3,238746.4,237441.3,233507.7,236476.4,239025.2,241792.5,244711.8,245993.8,244973.4,245538.9,246319.9,246004.5,245287.6,246252.4,246160.6,248828.8,248953.3,248365.6,249589.4,247717.9,250471.4,248394.6,251391.6,250666.7,251046.5,252214.6,248334.4,226222,242765.5
10000,Delaware,59019.3,57742.5,57759.6,64766,61219.4,62038.2,61527.2,60676.6,61166.1,62725.3,61044.8,59981.3,59150.6,59175.9,58811,57413.5,60587,61359,61457.7,59985.8,60993.8,59808.9,60399.7,61105.5,61900.8,62324,62962.9,62818.1,63388.3,62379.2,61577,60122.2,59050.9,58754.8,58956.5,61222.1,61749.5,63760,65155.2,65829.9,66950.6,68029.8,65817.8,65309.6,63185.4,63166.2,62643.2,62561.4,62442.4,61018.7,61870.9,62072.3,62349.7,62903.1,63893.1,63504.5,64246,64299,64229,64503,62574.3,58822.5,62521.7
11000,District of Columbia,100146.6,100181.4,99755.6,99953.8,100430,100045.1,101079,99709.6,101069,101681.8,104989.8,104383.7,106720.5,106541.6,107095.9,106863.8,105981,106434.1,106405.2,106685.2,108951.9,109746.2,110171,110894.5,111236.4,112099.9,112339.2,112042.3,112117.8,112970.9,112940.7,112410.4,112817.9,112188.8,113040.6,113198.2,113918.5,114267,115193.4,115880.4,116270.2,117222.1,117080.5,117471.4,119120.7,119301.7,119107,120151.3,118855.4,119473.7,121565.7,120948.9,121744.9,122473.7,123421,123007.9,123090.7,123578.5,124107.3,124940.6,124570.8,117650.7,122934.4
12000,Florida,793779.7,800348.7,817169.1,815922.6,830657.1,832720.6,833118.7,841241.7,832737,834980.8,839621.5,835209.4,820662.4,815375.6,802979.9,775410.5,764774,756770.2,753743.3,762441.3,757788.4,764863.9,770979.8,772983.6,760722.4,767057.5,760308.4,765848,767900.9,765732.6,771850.2,769407.9,779393.9,779311.4,785974.9,792273.4,791463.9,801798.8,811315.8,819538.9,827573,839558.6,846725.3,855220.5,855807.6,866260.9,877547.7,884236.6,892458.9,896952,903030.2,915173.2,929250,931369.6,941547.9,944153.6,955902.7,958261.2,965351.7,973507.9,962898.2,880375.1,946128.7
13000,Georgia,442440.1,444455.6,445594.3,450723.6,449026,449315.4,451123.2,454577.3,447201.4,450938.4,454743.7,457943.2,447128,448543.4,444473.7,429056.7,424781.3,425165.3,424510.4,426166.1,426450,427795.5,431799.7,436762.8,436212.6,436163.5,437950.1,441914.7,442687.3,444064.2,444413.4,443099.3,448816.5,447885.5,449647.4,452834.9,456904.9,463782.8,468696.6,471167.1,477848.3,484056.6,486529.3,489079.4,496548.6,498437.2,501692.7,506958.5,514040.6,515119.6,519931,528719.4,532848.3,536756.9,542342.3,542975.7,544005.8,545658.8,548905.6,551120.4,545463.2,502949.1,539836.8
