Entity,Code,Date,people_vaccinated_per_hundred
Arizona,,2021/1/20,3.39
Arizona,,2021/1/21,3.6
Arizona,,2021/1/22,3.85
Arizona,,2021/1/23,4.2
Arizona,,2021/1/24,4.56
Arizona,,2021/1/25,4.82
Arizona,,2021/1/26,5.03
Arizona,,2021/1/27,5.34
Arizona,,2021/1/28,5.67
Arizona,,2021/1/29,6.04
Arizona,,2021/1/30,6.46
Arizona,,2021/1/31,6.88
Arizona,,2021/2/1,7.2
Arizona,,2021/2/2,7.34
Arizona,,2021/2/3,7.6
Arizona,,2021/2/4,7.88
Arizona,,2021/2/5,8.21
Arizona,,2021/2/6,8.65
Arizona,,2021/2/7,9.02
Arizona,,2021/2/8,9.32
Arizona,,2021/2/9,9.56
Arizona,,2021/2/10,9.88
Arizona,,2021/2/11,10.27
Arkansas,,2021/1/12,1.3
Arkansas,,2021/1/13,2.67
Arkansas,,2021/1/14,2.99
Arkansas,,2021/1/15,3.24
Arkansas,,2021/1/19,3.94
Arkansas,,2021/1/20,4.8
Arkansas,,2021/1/21,4.8
Arkansas,,2021/1/22,5.56
Arkansas,,2021/1/23,5.56
Arkansas,,2021/1/24,5.94
Arkansas,,2021/1/25,6.15
Arkansas,,2021/1/26,6.52
Arkansas,,2021/1/27,6.94
Arkansas,,2021/1/28,6.94
Arkansas,,2021/1/29,7.34
Arkansas,,2021/1/30,7.75
Arkansas,,2021/1/31,8.11
Arkansas,,2021/2/1,8.28
Arkansas,,2021/2/2,8.34
Arkansas,,2021/2/3,8.49
Arkansas,,2021/2/4,8.83
Arkansas,,2021/2/5,9.1
Arkansas,,2021/2/6,9.62
Arkansas,,2021/2/7,9.95
Arkansas,,2021/2/8,10.09
Arkansas,,2021/2/9,10.14
Arkansas,,2021/2/10,10.32
Arkansas,,2021/2/11,10.5
California,,2021/1/12,1.78
California,,2021/1/13,1.88
California,,2021/1/14,2.03
California,,2021/1/15,2.19
California,,2021/1/19,3.03
California,,2021/1/20,3.18
California,,2021/1/21,3.38
California,,2021/1/22,3.74
California,,2021/1/23,4.2
California,,2021/1/24,4.65
California,,2021/1/25,4.94
California,,2021/1/26,5.2
California,,2021/1/27,5.46
California,,2021/1/28,5.77
California,,2021/1/29,6.11
California,,2021/1/30,6.49
California,,2021/1/31,6.88
California,,2021/2/1,7.24
California,,2021/2/2,7.44
California,,2021/2/3,7.71
California,,2021/2/4,7.81
California,,2021/2/5,8.17
California,,2021/2/6,8.58
California,,2021/2/7,9.25
California,,2021/2/8,9.65
California,,2021/2/9,9.82
California,,2021/2/10,10.11
California,,2021/2/11,10.4
Colorado,,2021/1/12,3.26
Colorado,,2021/1/13,3.44
Colorado,,2021/1/14,3.63
Colorado,,2021/1/15,3.89
Colorado,,2021/1/19,4.84
Colorado,,2021/1/20,4.99
Colorado,,2021/1/21,5.15
Colorado,,2021/1/22,5.44
Colorado,,2021/1/23,5.44
Colorado,,2021/1/24,6.17
Colorado,,2021/1/25,6.34
Colorado,,2021/1/26,6.46
Colorado,,2021/1/27,6.63
Colorado,,2021/1/28,6.84
Colorado,,2021/1/29,7.12
Colorado,,2021/1/30,7.35
Colorado,,2021/1/31,7.65
Colorado,,2021/2/1,7.91
Colorado,,2021/2/2,8.07
Colorado,,2021/2/3,8.21
Colorado,,2021/2/4,8.43
Colorado,,2021/2/5,8.6
Colorado,,2021/2/6,8.89
Colorado,,2021/2/7,9.18
Colorado,,2021/2/8,9.38
Colorado,,2021/2/9,9.41
Colorado,,2021/2/10,9.68
Colorado,,2021/2/11,9.92
Connecticut,,2021/1/12,1.58
Connecticut,,2021/1/13,1.65
Connecticut,,2021/1/14,4.39
Connecticut,,2021/1/15,4.68
Connecticut,,2021/1/19,5.66
Connecticut,,2021/1/20,5.98
Connecticut,,2021/1/21,6.48
Connecticut,,2021/1/22,6.98
Connecticut,,2021/1/23,7.41
Connecticut,,2021/1/24,7.72
Connecticut,,2021/1/25,7.93
Connecticut,,2021/1/26,8.17
Connecticut,,2021/1/27,8.49
Connecticut,,2021/1/28,8.84
Connecticut,,2021/1/29,9.23
Connecticut,,2021/1/30,9.56
Connecticut,,2021/1/31,9.81
Connecticut,,2021/2/1,10.03
Connecticut,,2021/2/2,10.14
Connecticut,,2021/2/3,10.26
Connecticut,,2021/2/4,10.54
Connecticut,,2021/2/5,10.87
Connecticut,,2021/2/6,11.1
Connecticut,,2021/2/7,11.28
Connecticut,,2021/2/8,11.41
Connecticut,,2021/2/9,11.57
Connecticut,,2021/2/10,11.87
Connecticut,,2021/2/11,12.26
Delaware,,2021/1/12,1.63
Delaware,,2021/1/13,1.71
Delaware,,2021/1/14,2.63
Delaware,,2021/1/15,2.63
Delaware,,2021/1/19,3.66
Delaware,,2021/1/20,3.96
Delaware,,2021/1/21,4.3
Delaware,,2021/1/22,4.65
Delaware,,2021/1/23,5.08
Delaware,,2021/1/24,5.4
Delaware,,2021/1/25,5.66
Delaware,,2021/1/26,5.82
Delaware,,2021/1/27,6.67
Delaware,,2021/1/28,7.08
Delaware,,2021/1/29,7.46
Delaware,,2021/1/30,7.9
Delaware,,2021/1/31,8.52
Delaware,,2021/2/1,8.68
Delaware,,2021/2/2,8.74
Delaware,,2021/2/3,9.07
Delaware,,2021/2/4,9.21
Delaware,,2021/2/5,9.48
Delaware,,2021/2/6,9.75
Delaware,,2021/2/7,10.11
Delaware,,2021/2/8,10.34
Delaware,,2021/2/9,10.41
Delaware,,2021/2/10,10.61
Delaware,,2021/2/11,10.86
District of Columbia,,2021/1/13,0.28
District of Columbia,,2021/1/14,4.24
District of Columbia,,2021/1/15,4.49
District of Columbia,,2021/1/19,5.63
District of Columbia,,2021/1/20,5.83
District of Columbia,,2021/1/21,6.15
District of Columbia,,2021/1/22,6.34
District of Columbia,,2021/1/23,6.67
District of Columbia,,2021/1/24,6.98
District of Columbia,,2021/1/25,7.21
District of Columbia,,2021/1/26,7.28
District of Columbia,,2021/1/27,7.59
District of Columbia,,2021/1/28,7.88
District of Columbia,,2021/1/29,8.1
District of Columbia,,2021/1/30,8.44
District of Columbia,,2021/1/31,8.75
District of Columbia,,2021/2/1,8.96
District of Columbia,,2021/2/2,9.1
District of Columbia,,2021/2/3,9.24
District of Columbia,,2021/2/4,9.44
District of Columbia,,2021/2/5,9.92
District of Columbia,,2021/2/6,10.17
District of Columbia,,2021/2/7,10.42
District of Columbia,,2021/2/8,10.68
District of Columbia,,2021/2/9,10.68
District of Columbia,,2021/2/10,10.68
District of Columbia,,2021/2/11,11.3
Federated States of Micronesia,,2021/1/12,0.4
Federated States of Micronesia,,2021/1/13,0.53
Federated States of Micronesia,,2021/1/14,0.58
Federated States of Micronesia,,2021/1/15,0.67
Federated States of Micronesia,,2021/1/19,1.38
Federated States of Micronesia,,2021/1/20,1.69
Federated States of Micronesia,,2021/1/21,2.01
Federated States of Micronesia,,2021/1/22,2.42
Federated States of Micronesia,,2021/1/23,2.65
Federated States of Micronesia,,2021/1/24,2.65
Federated States of Micronesia,,2021/1/25,2.66
Federated States of Micronesia,,2021/1/26,2.87
Federated States of Micronesia,,2021/1/27,3.1
Federated States of Micronesia,,2021/1/28,3.35
Federated States of Micronesia,,2021/1/29,3.8
Federated States of Micronesia,,2021/1/30,3.8
Federated States of Micronesia,,2021/1/31,3.8
Federated States of Micronesia,,2021/2/1,4.89
Federated States of Micronesia,,2021/2/2,5.48
Federated States of Micronesia,,2021/2/3,5.99
Federated States of Micronesia,,2021/2/4,6.41
Federated States of Micronesia,,2021/2/5,6.7
Federated States of Micronesia,,2021/2/6,6.98
Federated States of Micronesia,,2021/2/7,7.05
Federated States of Micronesia,,2021/2/8,7.05
Federated States of Micronesia,,2021/2/9,7.28
Federated States of Micronesia,,2021/2/10,7.47
Federated States of Micronesia,,2021/2/11,7.71
Florida,,2021/1/12,2.73
Florida,,2021/1/13,3.01
Florida,,2021/1/14,3.3
Florida,,2021/1/15,3.62
Florida,,2021/1/19,4.98
Florida,,2021/1/20,5.24
Florida,,2021/1/21,5.24
Florida,,2021/1/22,5.52
Florida,,2021/1/23,6.21
Florida,,2021/1/24,6.45
Florida,,2021/1/25,6.45
Florida,,2021/1/26,6.58
Florida,,2021/1/27,6.76
Florida,,2021/1/28,6.97
Florida,,2021/1/29,7.24
Florida,,2021/1/30,7.5
Florida,,2021/1/31,7.71
Florida,,2021/2/1,7.84
Florida,,2021/2/2,7.97
Florida,,2021/2/3,8.16
Florida,,2021/2/4,8.35
Florida,,2021/2/5,8.44
Florida,,2021/2/6,8.68
Florida,,2021/2/7,9.15
Florida,,2021/2/8,9.15
Florida,,2021/2/9,9.42
Florida,,2021/2/10,9.61
Florida,,2021/2/11,9.86
Georgia,GEO,2021/1/12,0.8
Georgia,GEO,2021/1/13,0.81
Georgia,GEO,2021/1/14,1.92
Georgia,GEO,2021/1/15,1.92
Georgia,GEO,2021/1/19,2.62
Georgia,GEO,2021/1/20,3.35
Georgia,GEO,2021/1/21,3.83
Georgia,GEO,2021/1/22,5.03
Georgia,GEO,2021/1/23,5.03
Georgia,GEO,2021/1/24,5.03
Georgia,GEO,2021/1/25,5.03
Georgia,GEO,2021/1/26,5.57
Georgia,GEO,2021/1/27,5.87
Georgia,GEO,2021/1/28,6.21
Georgia,GEO,2021/1/29,6.53
Georgia,GEO,2021/1/30,6.87
Georgia,GEO,2021/1/31,7.22
Georgia,GEO,2021/2/1,7.4
Georgia,GEO,2021/2/2,7.44
Georgia,GEO,2021/2/3,7.66
Georgia,GEO,2021/2/4,7.86
Georgia,GEO,2021/2/5,8.1
Georgia,GEO,2021/2/6,8.36
Georgia,GEO,2021/2/7,8.59
Georgia,GEO,2021/2/8,8.7
Georgia,GEO,2021/2/9,8.73
Georgia,GEO,2021/2/10,8.91
Georgia,GEO,2021/2/11,9.11
Guam,GUM,2021/1/12,0.24
Guam,GUM,2021/1/13,0.24
Guam,GUM,2021/1/14,2.28
Guam,GUM,2021/1/15,2.28
Guam,GUM,2021/1/19,2.28
Guam,GUM,2021/1/20,2.28
Guam,GUM,2021/1/21,2.28
Guam,GUM,2021/1/22,2.28
Guam,GUM,2021/1/23,2.28
Guam,GUM,2021/1/24,2.28
Guam,GUM,2021/1/25,2.28
Guam,GUM,2021/1/26,8.07
Guam,GUM,2021/1/27,8.61
Guam,GUM,2021/1/28,9.29
Guam,GUM,2021/1/29,10.1
Guam,GUM,2021/1/30,10.73
Guam,GUM,2021/1/31,10.73
Guam,GUM,2021/2/1,11.18
Guam,GUM,2021/2/2,11.88
Guam,GUM,2021/2/3,12.54
Guam,GUM,2021/2/4,12.54
Guam,GUM,2021/2/5,13.19
Guam,GUM,2021/2/6,13.99
Guam,GUM,2021/2/7,14.22
Guam,GUM,2021/2/8,14.29
Guam,GUM,2021/2/9,14.73
Guam,GUM,2021/2/10,15.27
Guam,GUM,2021/2/11,15.7
Hawaii,,2021/1/15,2.8
Hawaii,,2021/1/19,3.72
Hawaii,,2021/1/20,4.1
Hawaii,,2021/1/21,4.47
Hawaii,,2021/1/22,4.8
Hawaii,,2021/1/23,4.8
Hawaii,,2021/1/24,4.8
Hawaii,,2021/1/25,5.25
Hawaii,,2021/1/26,5.36
Hawaii,,2021/1/27,5.59
Hawaii,,2021/1/28,5.94
Hawaii,,2021/1/29,6.32
Hawaii,,2021/1/30,6.83
Hawaii,,2021/1/31,7.3
Hawaii,,2021/2/1,7.68
Hawaii,,2021/2/2,7.82
Hawaii,,2021/2/3,8.15
Hawaii,,2021/2/4,8.51
Hawaii,,2021/2/5,8.95
Hawaii,,2021/2/6,9.37
Hawaii,,2021/2/7,9.69
Hawaii,,2021/2/8,10.05
Hawaii,,2021/2/9,10.05
Hawaii,,2021/2/10,10.05
Hawaii,,2021/2/11,10.64
Idaho,,2021/1/12,1.76
Idaho,,2021/1/13,1.86
Idaho,,2021/1/14,1.97
Idaho,,2021/1/15,2.11
Idaho,,2021/1/19,3
Idaho,,2021/1/20,3.26
Idaho,,2021/1/21,3.42
Idaho,,2021/1/22,3.6
Idaho,,2021/1/23,3.82
Idaho,,2021/1/24,4.05
Idaho,,2021/1/25,4.26
Idaho,,2021/1/26,4.39
Idaho,,2021/1/27,4.52
Idaho,,2021/1/28,4.78
Idaho,,2021/1/29,4.98
Idaho,,2021/1/30,5.24
Idaho,,2021/1/31,5.5
Idaho,,2021/2/1,5.65
Idaho,,2021/2/2,5.76
Idaho,,2021/2/3,6
Idaho,,2021/2/4,6.33
Idaho,,2021/2/5,6.72
Idaho,,2021/2/6,7.49
Idaho,,2021/2/7,7.89
Idaho,,2021/2/8,8.35
Idaho,,2021/2/9,8.47
Idaho,,2021/2/10,8.69
Idaho,,2021/2/11,8.94
Illinois,,2021/1/12,2.24
Illinois,,2021/1/13,2.3
Illinois,,2021/1/14,2.5
Illinois,,2021/1/15,2.7
Illinois,,2021/1/19,3.27
Illinois,,2021/1/20,3.36
Illinois,,2021/1/21,3.57
Illinois,,2021/1/22,3.79
Illinois,,2021/1/23,4.09
Illinois,,2021/1/24,4.39
Illinois,,2021/1/25,4.57
Illinois,,2021/1/26,4.66
Illinois,,2021/1/27,4.82
Illinois,,2021/1/28,5.08
Illinois,,2021/1/29,5.41
Illinois,,2021/1/30,5.78
Illinois,,2021/1/31,6.17
Illinois,,2021/2/1,6.45
Illinois,,2021/2/2,6.56
Illinois,,2021/2/3,6.78
Illinois,,2021/2/4,7.15
Illinois,,2021/2/5,7.59
Illinois,,2021/2/6,8.12
Illinois,,2021/2/7,8.58
Illinois,,2021/2/8,8.93
Illinois,,2021/2/9,9.06
Illinois,,2021/2/10,9.46
Illinois,,2021/2/11,9.82
Indiana,,2021/1/12,1.7
Indiana,,2021/1/13,1.87
Indiana,,2021/1/14,3.03
Indiana,,2021/1/15,3.31
Indiana,,2021/1/19,4.22
Indiana,,2021/1/20,4.42
Indiana,,2021/1/21,4.76
Indiana,,2021/1/22,5.05
Indiana,,2021/1/23,5.46
Indiana,,2021/1/24,5.46
Indiana,,2021/1/25,6.06
Indiana,,2021/1/26,6.15
Indiana,,2021/1/27,6.43
Indiana,,2021/1/28,6.75
Indiana,,2021/1/29,7.07
Indiana,,2021/1/30,7.36
Indiana,,2021/1/31,7.36
Indiana,,2021/2/1,7.36
Indiana,,2021/2/2,7.41
Indiana,,2021/2/3,7.68
Indiana,,2021/2/4,8.04
Indiana,,2021/2/5,8.44
Indiana,,2021/2/6,8.81
Indiana,,2021/2/7,8.81
Indiana,,2021/2/8,8.81
Indiana,,2021/2/9,8.89
Indiana,,2021/2/10,9.18
Indiana,,2021/2/11,9.46
Iowa,,2021/1/12,2.92
Iowa,,2021/1/13,3.23
Iowa,,2021/1/14,3.2
Iowa,,2021/1/15,3.42
Iowa,,2021/1/19,4.12
Iowa,,2021/1/20,4.23
Iowa,,2021/1/21,4.42
Iowa,,2021/1/22,4.62
Iowa,,2021/1/23,4.79
Iowa,,2021/1/24,5
Iowa,,2021/1/25,5.12
Iowa,,2021/1/26,5.16
Iowa,,2021/1/27,5.24
Iowa,,2021/1/28,5.37
Iowa,,2021/1/29,5.54
Iowa,,2021/1/30,5.79
Iowa,,2021/1/31,6.04
Iowa,,2021/2/1,6.15
Iowa,,2021/2/2,6.19
Iowa,,2021/2/3,6.32
Iowa,,2021/2/4,6.55
Iowa,,2021/2/5,6.84
Iowa,,2021/2/6,7.11
Iowa,,2021/2/7,7.53
Iowa,,2021/2/8,8
Iowa,,2021/2/9,8.16
Iowa,,2021/2/10,8.52
Iowa,,2021/2/11,8.96
Kansas,,2021/1/12,1.85
Kansas,,2021/1/13,2.01
Kansas,,2021/1/14,2.66
Kansas,,2021/1/15,2.86
Kansas,,2021/1/19,3.5
Kansas,,2021/1/20,3.63
Kansas,,2021/1/21,3.84
Kansas,,2021/1/22,4
Kansas,,2021/1/23,4.22
Kansas,,2021/1/24,4.37
Kansas,,2021/1/25,4.46
Kansas,,2021/1/26,4.54
Kansas,,2021/1/27,4.83
Kansas,,2021/1/28,5.41
Kansas,,2021/1/29,5.41
Kansas,,2021/1/30,5.78
Kansas,,2021/1/31,6.18
Kansas,,2021/2/1,6.28
Kansas,,2021/2/2,6.35
Kansas,,2021/2/3,6.59
Kansas,,2021/2/4,6.81
Kansas,,2021/2/5,7.1
Kansas,,2021/2/6,7.49
Kansas,,2021/2/7,7.85
Kansas,,2021/2/8,7.98
Kansas,,2021/2/9,8.02
Kansas,,2021/2/10,8.28
Kansas,,2021/2/11,8.55
Kentucky,,2021/1/12,2.3
Kentucky,,2021/1/13,2.5
Kentucky,,2021/1/14,3.25
Kentucky,,2021/1/15,3.64
Kentucky,,2021/1/19,4.51
Kentucky,,2021/1/20,4.67
Kentucky,,2021/1/21,4.88
Kentucky,,2021/1/22,5.14
Kentucky,,2021/1/23,5.45
Kentucky,,2021/1/24,6.01
Kentucky,,2021/1/25,6.17
Kentucky,,2021/1/26,6.26
Kentucky,,2021/1/27,6.39
Kentucky,,2021/1/28,6.65
Kentucky,,2021/1/29,6.99
Kentucky,,2021/1/30,7.26
Kentucky,,2021/1/31,7.56
Kentucky,,2021/2/1,7.78
Kentucky,,2021/2/2,7.85
Kentucky,,2021/2/3,8.06
Kentucky,,2021/2/4,8.33
Kentucky,,2021/2/5,8.68
Kentucky,,2021/2/6,9.1
Kentucky,,2021/2/7,9.47
Kentucky,,2021/2/8,9.72
Kentucky,,2021/2/9,9.76
Kentucky,,2021/2/10,9.91
Kentucky,,2021/2/11,10.17
Louisiana,,2021/1/12,2.52
Louisiana,,2021/1/13,2.73
Louisiana,,2021/1/14,3.21
Louisiana,,2021/1/15,3.6
Louisiana,,2021/1/19,4.76
Louisiana,,2021/1/20,4.92
Louisiana,,2021/1/21,5.18
Louisiana,,2021/1/22,5.52
Louisiana,,2021/1/23,5.86
Louisiana,,2021/1/24,6.26
Louisiana,,2021/1/25,6.4
Louisiana,,2021/1/26,6.49
Louisiana,,2021/1/27,6.69
Louisiana,,2021/1/28,6.96
Louisiana,,2021/1/29,7.3
Louisiana,,2021/1/30,7.64
Louisiana,,2021/1/31,7.95
Louisiana,,2021/2/1,8.1
Louisiana,,2021/2/2,8.14
Louisiana,,2021/2/3,8.26
Louisiana,,2021/2/4,8.46
Louisiana,,2021/2/5,8.69
Louisiana,,2021/2/6,9.02
Louisiana,,2021/2/7,9.27
Louisiana,,2021/2/8,9.38
Louisiana,,2021/2/9,9.43
Louisiana,,2021/2/10,9.64
Louisiana,,2021/2/11,9.64
Maine,,2021/1/12,2.83
Maine,,2021/1/13,2.91
Maine,,2021/1/14,3.84
Maine,,2021/1/15,3.84
Maine,,2021/1/19,4.67
Maine,,2021/1/20,4.78
Maine,,2021/1/21,4.99
Maine,,2021/1/22,5.22
Maine,,2021/1/23,5.51
Maine,,2021/1/24,5.9
Maine,,2021/1/25,6.16
Maine,,2021/1/26,6.21
Maine,,2021/1/27,6.4
Maine,,2021/1/28,6.61
Maine,,2021/1/29,6.96
Maine,,2021/1/30,7.4
Maine,,2021/1/31,7.86
Maine,,2021/2/1,8.18
Maine,,2021/2/2,8.18
Maine,,2021/2/3,8.18
Maine,,2021/2/4,8.55
Maine,,2021/2/5,8.86
Maine,,2021/2/6,9.38
Maine,,2021/2/7,9.84
Maine,,2021/2/8,9.84
Maine,,2021/2/9,10.27
Maine,,2021/2/10,10.55
Maine,,2021/2/11,10.55
Marshall Islands,MHL,2021/1/12,1.07
Marshall Islands,MHL,2021/1/13,1.08
Marshall Islands,MHL,2021/1/14,1.07
Marshall Islands,MHL,2021/1/15,1.08
Marshall Islands,MHL,2021/1/19,2.14
Marshall Islands,MHL,2021/1/20,2.54
Marshall Islands,MHL,2021/1/21,3.35
Marshall Islands,MHL,2021/1/22,4.12
Marshall Islands,MHL,2021/1/23,4.86
Marshall Islands,MHL,2021/1/24,5.25
Marshall Islands,MHL,2021/1/25,5.25
Marshall Islands,MHL,2021/1/26,5.56
Marshall Islands,MHL,2021/1/27,5.97
Marshall Islands,MHL,2021/1/28,6.15
Marshall Islands,MHL,2021/1/29,6.27
Marshall Islands,MHL,2021/1/30,6.37
Marshall Islands,MHL,2021/1/31,6.44
Marshall Islands,MHL,2021/2/1,6.44
Marshall Islands,MHL,2021/2/2,6.58
Marshall Islands,MHL,2021/2/3,6.58
Marshall Islands,MHL,2021/2/4,6.77
Marshall Islands,MHL,2021/2/5,6.97
Marshall Islands,MHL,2021/2/6,7.29
Marshall Islands,MHL,2021/2/7,7.55
Marshall Islands,MHL,2021/2/8,7.55
Marshall Islands,MHL,2021/2/9,7.92
Marshall Islands,MHL,2021/2/10,8.1
Marshall Islands,MHL,2021/2/11,8.33
Maryland,,2021/1/12,2.26
Maryland,,2021/1/13,2.68
Maryland,,2021/1/14,2.73
Maryland,,2021/1/15,2.96
Maryland,,2021/1/19,3.73
Maryland,,2021/1/20,3.86
Maryland,,2021/1/21,4.03
Maryland,,2021/1/22,4.24
Maryland,,2021/1/23,4.51
Maryland,,2021/1/24,4.97
Maryland,,2021/1/25,5.15
Maryland,,2021/1/26,5.34
Maryland,,2021/1/27,5.63
Maryland,,2021/1/28,5.88
Maryland,,2021/1/29,6.21
Maryland,,2021/1/30,6.59
Maryland,,2021/1/31,6.98
Maryland,,2021/2/1,7.29
Maryland,,2021/2/2,7.41
Maryland,,2021/2/3,7.52
Maryland,,2021/2/4,7.67
Maryland,,2021/2/5,7.91
Maryland,,2021/2/6,8.21
Maryland,,2021/2/7,8.57
Maryland,,2021/2/8,8.8
Maryland,,2021/2/9,8.9
Maryland,,2021/2/10,9.12
Maryland,,2021/2/11,9.32
Massachusetts,,2021/1/12,2.68
Massachusetts,,2021/1/13,2.8
Massachusetts,,2021/1/14,2.97
Massachusetts,,2021/1/15,3.22
Massachusetts,,2021/1/19,4.03
Massachusetts,,2021/1/20,4.18
Massachusetts,,2021/1/21,4.45
Massachusetts,,2021/1/22,4.62
Massachusetts,,2021/1/23,4.85
Massachusetts,,2021/1/24,5.17
Massachusetts,,2021/1/25,5.34
Massachusetts,,2021/1/26,5.46
Massachusetts,,2021/1/27,5.66
Massachusetts,,2021/1/28,5.89
Massachusetts,,2021/1/29,6.13
Massachusetts,,2021/1/30,6.37
Massachusetts,,2021/1/31,6.69
Massachusetts,,2021/2/1,7.03
Massachusetts,,2021/2/2,7.22
Massachusetts,,2021/2/3,7.22
Massachusetts,,2021/2/4,7.5
Massachusetts,,2021/2/5,7.83
Massachusetts,,2021/2/6,8.3
Massachusetts,,2021/2/7,8.84
Massachusetts,,2021/2/8,9.14
Massachusetts,,2021/2/9,9.42
Massachusetts,,2021/2/10,9.97
Massachusetts,,2021/2/11,10.38
Michigan,,2021/1/12,2.08
Michigan,,2021/1/13,2.6
Michigan,,2021/1/14,2.87
Michigan,,2021/1/15,3.13
Michigan,,2021/1/19,4.18
Michigan,,2021/1/20,4.35
Michigan,,2021/1/21,4.64
Michigan,,2021/1/22,4.99
Michigan,,2021/1/23,5.37
Michigan,,2021/1/24,5.74
Michigan,,2021/1/25,6
Michigan,,2021/1/26,6.12
Michigan,,2021/1/27,6.3
Michigan,,2021/1/28,6.6
Michigan,,2021/1/29,6.96
Michigan,,2021/1/30,7.36
Michigan,,2021/1/31,7.74
Michigan,,2021/2/1,7.95
Michigan,,2021/2/2,8.03
Michigan,,2021/2/3,8.15
Michigan,,2021/2/4,8.37
Michigan,,2021/2/5,8.68
Michigan,,2021/2/6,8.97
Michigan,,2021/2/7,9.26
Michigan,,2021/2/8,9.4
Michigan,,2021/2/9,9.52
Michigan,,2021/2/10,9.73
Michigan,,2021/2/11,9.99
Minnesota,,2021/1/12,2.7
Minnesota,,2021/1/13,2.74
Minnesota,,2021/1/14,2.86
Minnesota,,2021/1/15,3.02
Minnesota,,2021/1/19,3.71
Minnesota,,2021/1/20,3.72
Minnesota,,2021/1/21,3.78
Minnesota,,2021/1/22,3.97
Minnesota,,2021/1/23,4.26
Minnesota,,2021/1/24,4.49
Minnesota,,2021/1/25,4.86
Minnesota,,2021/1/26,5.09
Minnesota,,2021/1/27,5.3
Minnesota,,2021/1/28,5.6
Minnesota,,2021/1/29,6.03
Minnesota,,2021/1/30,6.68
Minnesota,,2021/1/31,7.14
Minnesota,,2021/2/1,7.55
Minnesota,,2021/2/2,7.64
Minnesota,,2021/2/3,7.64
Minnesota,,2021/2/4,8.15
Minnesota,,2021/2/5,8.15
Minnesota,,2021/2/6,9.04
Minnesota,,2021/2/7,9.37
Minnesota,,2021/2/8,9.59
Minnesota,,2021/2/9,9.59
