Entity,Code,Date,people_vaccinated_per_hundred
Alabama,,2021/1/12,1.44
Alabama,,2021/1/13,1.52
Alabama,,2021/1/14,1.64
Alabama,,2021/1/15,1.77
Alabama,,2021/1/19,2.33
Alabama,,2021/1/20,2.47
Alabama,,2021/1/21,2.95
Alabama,,2021/1/22,3.56
Alabama,,2021/1/23,3.96
Alabama,,2021/1/24,4.36
Alabama,,2021/1/25,4.5
Alabama,,2021/1/26,4.57
Alabama,,2021/1/27,4.74
Alabama,,2021/1/28,4.92
Alabama,,2021/1/29,5.23
Alabama,,2021/1/30,5.88
Alabama,,2021/1/31,6.08
Alabama,,2021/2/1,6.15
Alabama,,2021/2/2,6.38
Alabama,,2021/2/3,6.63
Alabama,,2021/2/4,6.91
Alabama,,2021/2/5,7.21
Alabama,,2021/2/6,7.55
Alabama,,2021/2/7,7.66
Alabama,,2021/2/8,7.72
Alabama,,2021/2/9,8.06
Alabama,,2021/2/10,8.41
Alabama,,2021/2/11,8.8
Alaska,,2021/1/12,3.07
Alaska,,2021/1/13,3.36
Alaska,,2021/1/14,4.85
Alaska,,2021/1/15,5.41
Alaska,,2021/1/19,7.58
Alaska,,2021/1/20,7.78
Alaska,,2021/1/21,8.13
Alaska,,2021/1/22,9.2
Alaska,,2021/1/23,9.98
Alaska,,2021/1/24,10.65
Alaska,,2021/1/25,10.97
Alaska,,2021/1/26,11.1
Alaska,,2021/1/27,11.4
Alaska,,2021/1/28,11.71
Alaska,,2021/1/29,12.12
Alaska,,2021/1/30,12.55
Alaska,,2021/1/31,12.97
Alaska,,2021/2/1,13.18
Alaska,,2021/2/2,13.27
Alaska,,2021/2/3,13.41
Alaska,,2021/2/4,13.61
Alaska,,2021/2/5,13.84
Alaska,,2021/2/6,14.1
Alaska,,2021/2/7,14.53
Alaska,,2021/2/8,15.02
Alaska,,2021/2/9,15.16
Alaska,,2021/2/10,15.37
Alaska,,2021/2/11,15.86
American Samoa,ASM,2021/1/12,1.51
American Samoa,ASM,2021/1/13,2.14
American Samoa,ASM,2021/1/14,4.33
American Samoa,ASM,2021/1/15,5.65
American Samoa,ASM,2021/1/19,7.16
American Samoa,ASM,2021/1/20,8.04
American Samoa,ASM,2021/1/21,8.5
American Samoa,ASM,2021/1/22,10.1
American Samoa,ASM,2021/1/23,10.56
American Samoa,ASM,2021/1/24,12.74
American Samoa,ASM,2021/1/25,12.74
American Samoa,ASM,2021/1/26,13.23
American Samoa,ASM,2021/1/27,14.6
American Samoa,ASM,2021/1/28,14.6
American Samoa,ASM,2021/1/29,16.03
American Samoa,ASM,2021/1/30,16.03
American Samoa,ASM,2021/1/31,16.03
American Samoa,ASM,2021/2/1,17.44
American Samoa,ASM,2021/2/2,17.44
American Samoa,ASM,2021/2/3,17.52
American Samoa,ASM,2021/2/4,17.53
American Samoa,ASM,2021/2/5,17.55
American Samoa,ASM,2021/2/6,17.56
American Samoa,ASM,2021/2/7,17.56
American Samoa,ASM,2021/2/8,17.56
American Samoa,ASM,2021/2/9,17.58
American Samoa,ASM,2021/2/10,17.63
American Samoa,ASM,2021/2/11,17.64
Arizona,,2021/1/12,1.31
Arizona,,2021/1/13,1.43
Arizona,,2021/1/14,2.16
Arizona,,2021/1/15,2.42
Arizona,,2021/1/19,3.23
