Entity,Code,Date,share_doses_used
Alabama,,2021/1/12,0.207
Alabama,,2021/1/13,0.222
Alabama,,2021/1/14,0.212
Alabama,,2021/1/15,0.226
Alabama,,2021/1/19,0.294
Alabama,,2021/1/20,0.288
Alabama,,2021/1/21,0.336
Alabama,,2021/1/22,0.384
Alabama,,2021/1/23,0.425
Alabama,,2021/1/24,0.468
Alabama,,2021/1/25,0.481
Alabama,,2021/1/26,0.448
Alabama,,2021/1/27,0.42
Alabama,,2021/1/28,0.426
Alabama,,2021/1/29,0.456
Alabama,,2021/1/30,0.519
Alabama,,2021/1/31,0.537
Alabama,,2021/2/1,0.543
Alabama,,2021/2/2,0.546
Alabama,,2021/2/3,0.508
Alabama,,2021/2/4,0.511
Alabama,,2021/2/5,0.538
Alabama,,2021/2/6,0.566
Alabama,,2021/2/7,0.575
Alabama,,2021/2/8,0.582
Alabama,,2021/2/9,0.596
Alabama,,2021/2/10,0.599
Alabama,,2021/2/11,0.596
Alaska,,2021/1/12,0.253
Alaska,,2021/1/13,0.259
Alaska,,2021/1/14,0.283
Alaska,,2021/1/15,0.326
Alaska,,2021/1/19,0.441
Alaska,,2021/1/20,0.454
Alaska,,2021/1/21,0.466
Alaska,,2021/1/22,0.522
Alaska,,2021/1/23,0.567
Alaska,,2021/1/24,0.605
Alaska,,2021/1/25,0.623
Alaska,,2021/1/26,0.602
Alaska,,2021/1/27,0.596
Alaska,,2021/1/28,0.594
Alaska,,2021/1/29,0.574
Alaska,,2021/1/30,0.597
Alaska,,2021/1/31,0.619
Alaska,,2021/2/1,0.632
Alaska,,2021/2/2,0.627
Alaska,,2021/2/3,0.547
Alaska,,2021/2/4,0.541
Alaska,,2021/2/5,0.545
Alaska,,2021/2/6,0.56
Alaska,,2021/2/7,0.588
Alaska,,2021/2/8,0.607
Alaska,,2021/2/9,0.595
Alaska,,2021/2/10,0.6
Alaska,,2021/2/11,0.6
American Samoa,ASM,2021/1/12,0.199
American Samoa,ASM,2021/1/13,0.242
American Samoa,ASM,2021/1/14,0.279
American Samoa,ASM,2021/1/15,0.21
American Samoa,ASM,2021/1/19,0.258
American Samoa,ASM,2021/1/20,0.288
American Samoa,ASM,2021/1/21,0.307
American Samoa,ASM,2021/1/22,0.356
American Samoa,ASM,2021/1/23,0.37
American Samoa,ASM,2021/1/24,0.436
American Samoa,ASM,2021/1/25,0.436
American Samoa,ASM,2021/1/26,0.451
American Samoa,ASM,2021/1/27,0.492
American Samoa,ASM,2021/1/28,0.492
American Samoa,ASM,2021/1/29,0.538
American Samoa,ASM,2021/1/30,0.538
American Samoa,ASM,2021/1/31,0.538
American Samoa,ASM,2021/2/1,0.583
American Samoa,ASM,2021/2/2,0.583
American Samoa,ASM,2021/2/3,0.6
American Samoa,ASM,2021/2/4,0.382
American Samoa,ASM,2021/2/5,0.408
American Samoa,ASM,2021/2/6,0.416
American Samoa,ASM,2021/2/7,0.416
American Samoa,ASM,2021/2/8,0.416
American Samoa,ASM,2021/2/9,0.431
American Samoa,ASM,2021/2/10,0.452
American Samoa,ASM,2021/2/11,0.459
Arizona,,2021/1/12,0.251
Arizona,,2021/1/13,0.272
Arizona,,2021/1/14,0.304
Arizona,,2021/1/15,0.345
Arizona,,2021/1/19,0.466
Arizona,,2021/1/20,0.375
Arizona,,2021/1/21,0.381
Arizona,,2021/1/22,0.401
Arizona,,2021/1/23,0.435
Arizona,,2021/1/24,0.471
Arizona,,2021/1/25,0.499
Arizona,,2021/1/26,0.515
Arizona,,2021/1/27,0.463
Arizona,,2021/1/28,0.482
Arizona,,2021/1/29,0.515
Arizona,,2021/1/30,0.55
Arizona,,2021/1/31,0.586
Arizona,,2021/2/1,0.612
Arizona,,2021/2/2,0.584
Arizona,,2021/2/3,0.555
Arizona,,2021/2/4,0.579
Arizona,,2021/2/5,0.607
Arizona,,2021/2/6,0.647
Arizona,,2021/2/7,0.682
Arizona,,2021/2/8,0.709
Arizona,,2021/2/9,0.682
Arizona,,2021/2/10,0.655
Arizona,,2021/2/11,0.677
Arkansas,,2021/1/12,0.149
Arkansas,,2021/1/13,0.319
Arkansas,,2021/1/14,0.364
Arkansas,,2021/1/15,0.397
Arkansas,,2021/1/19,0.478
Arkansas,,2021/1/20,0.518
Arkansas,,2021/1/21,0.479
Arkansas,,2021/1/22,0.557
Arkansas,,2021/1/23,0.547
Arkansas,,2021/1/24,0.581
Arkansas,,2021/1/25,0.6
Arkansas,,2021/1/26,0.599
Arkansas,,2021/1/27,0.622
Arkansas,,2021/1/28,0.558
Arkansas,,2021/1/29,0.595
Arkansas,,2021/1/30,0.636
Arkansas,,2021/1/31,0.67
Arkansas,,2021/2/1,0.686
Arkansas,,2021/2/2,0.672
Arkansas,,2021/2/3,0.646
Arkansas,,2021/2/4,0.654
Arkansas,,2021/2/5,0.656
Arkansas,,2021/2/6,0.694
Arkansas,,2021/2/7,0.729
Arkansas,,2021/2/8,0.744
Arkansas,,2021/2/9,0.696
Arkansas,,2021/2/10,0.718
Arkansas,,2021/2/11,0.726
