country,state,county,lat,lng,type,measure,beds,population,year,source
US,AK,aleutians east,63.588753,-154.493062,ICU,1000HAB,0,3338,2019,khn
US,AK,aleutians west,63.588753,-154.493062,ICU,1000HAB,0,5784,2019,khn
US,AK,anchorage,63.588753,-154.493062,ACUTE,1000HAB,2.182916,298225,2018,arcgis
US,AK,anchorage,63.588753,-154.493062,ICU,1000HAB,0.244782,298225,2019,khn
US,AK,anchorage,63.588753,-154.493062,OTHER,1000HAB,0.191131,298225,2019,arcgis
US,AK,anchorage,63.588753,-154.493062,PSYCHIATRIC,1000HAB,0.938888,298225,2018,arcgis
US,AK,bethel,63.588753,-154.493062,ICU,1000HAB,2.060478,17957,2018,arcgis
US,AK,bristol bay,63.588753,-154.493062,ICU,1000HAB,0,917,2019,khn
US,AK,denali,63.588753,-154.493062,ICU,1000HAB,0,2303,2019,khn
US,AK,dillingham,63.588753,-154.493062,ICU,1000HAB,2.814636,4974,2018,arcgis
US,AK,fairbanks north star,63.588753,-154.493062,ACUTE,1000HAB,2.169328,100031,2018,arcgis
US,AK,fairbanks north star,63.588753,-154.493062,ICU,1000HAB,0.12996,100031,2019,khn
US,AK,haines,63.588753,-154.493062,ICU,1000HAB,0,2537,2019,khn
US,AK,hoonah-angoon,63.588753,-154.493062,ICU,1000HAB,0,2146,2019,khn
US,AK,juneau,63.588753,-154.493062,ACUTE,1000HAB,1.757415,32434,2019,arcgis
US,AK,juneau,63.588753,-154.493062,ICU,1000HAB,0.277487,32434,2019,khn
US,AK,kenai peninsula,63.588753,-154.493062,ACUTE,1000HAB,2.656959,57961,2018,arcgis
US,AK,kenai peninsula,63.588753,-154.493062,ICU,1000HAB,0.862649,57961,2018,arcgis
US,AK,ketchikan gateway,63.588753,-154.493062,ICU,1000HAB,3.928701,13745,2018,arcgis
US,AK,kodiak island borough,63.588753,-154.493062,ICU,1000HAB,0,13773,2019,khn
US,AK,kusilvak,63.588753,-154.493062,ICU,1000HAB,0,8129,2019,khn
US,AK,lake and peninsula,63.588753,-154.493062,ICU,1000HAB,0,1301,2019,khn
US,AK,matanuska-susitna,63.588753,-154.493062,ACUTE,1000HAB,0.731695,101135,2018,arcgis
US,AK,matanuska-susitna,63.588753,-154.493062,ICU,1000HAB,0.138429,101135,2019,khn
US,AK,nome,63.588753,-154.493062,ACUTE,1000HAB,3.647786,9869,2018,arcgis
US,AK,nome,63.588753,-154.493062,ICU,1000HAB,0,9869,2019,khn
US,AK,north slope borough,63.588753,-154.493062,ICU,1000HAB,2.04981,9757,2019,arcgis
US,AK,northwest arctic borough,63.588753,-154.493062,ICU,1000HAB,2.2035,7715,2018,arcgis
US,AK,petersburg borough,63.588753,-154.493062,ICU,1000HAB,0,3275,2019,khn
US,AK,prince of wales-hyder,63.588753,-154.493062,ICU,1000HAB,0,6473,2019,khn
US,AK,sitka borough,63.588753,-154.493062,ICU,1000HAB,0,8810,2019,khn
US,AK,skagway municipality,63.588753,-154.493062,ICU,1000HAB,0,1038,2019,khn
US,AK,southeast fairbanks ,63.588753,-154.493062,ICU,1000HAB,0,6889,2019,khn
US,AK,valdez-cordova ,63.588753,-154.493062,ICU,1000HAB,0,9439,2019,khn
US,AK,wrangell city and borough,63.588753,-154.493062,ICU,1000HAB,0,2475,2019,khn
US,AK,yakutat city and borough,63.588753,-154.493062,ICU,1000HAB,0,682,2019,khn
US,AK,yukon-koyukuk,63.588753,-154.493062,ICU,1000HAB,0,5453,2019,khn
US,AL,autauga,32.318231,-86.902298,ACUTE,1000HAB,1.544444,55036,2018,arcgis
US,AL,autauga,32.318231,-86.902298,ICU,1000HAB,0.10902,55036,2019,khn
US,AL,baldwin,32.318231,-86.902298,ACUTE,1000HAB,1.632573,203360,2018,arcgis
US,AL,baldwin,32.318231,-86.902298,ICU,1000HAB,0.250787,203360,2019,khn
US,AL,baldwin,32.318231,-86.902298,PSYCHIATRIC,1000HAB,0.324548,203360,2018,arcgis
US,AL,barbour,32.318231,-86.902298,ACUTE,1000HAB,2.82432,26201,2018,arcgis
US,AL,barbour,32.318231,-86.902298,ICU,1000HAB,0.190832,26201,2019,khn
US,AL,bibb,32.318231,-86.902298,ACUTE,1000HAB,1.550044,22580,2018,arcgis
US,AL,bibb,32.318231,-86.902298,ICU,1000HAB,0,22580,2019,khn
US,AL,blount,32.318231,-86.902298,ICU,1000HAB,0.693638,57667,2018,arcgis
US,AL,bullock,32.318231,-86.902298,ACUTE,1000HAB,5.821722,10478,2018,arcgis
US,AL,bullock,32.318231,-86.902298,ICU,1000HAB,0,10478,2019,khn
US,AL,butler,32.318231,-86.902298,ACUTE,1000HAB,4.670575,20126,2018,arcgis
US,AL,butler,32.318231,-86.902298,ICU,1000HAB,0.347809,20126,2019,khn
US,AL,calhoun,32.318231,-86.902298,ACUTE,1000HAB,4.778104,115527,2018,arcgis
US,AL,calhoun,32.318231,-86.902298,ICU,1000HAB,0.207744,115527,2019,khn
US,AL,calhoun,32.318231,-86.902298,OTHER,1000HAB,0.328927,115527,2018,arcgis
US,AL,chambers,32.318231,-86.902298,ACUTE,1000HAB,3.392831,33895,2018,arcgis
US,AL,chambers,32.318231,-86.902298,ICU,1000HAB,0,33895,2019,khn
US,AL,cherokee,32.318231,-86.902298,ACUTE,1000HAB,2.320634,25855,2018,arcgis
US,AL,cherokee,32.318231,-86.902298,ICU,1000HAB,0,25855,2019,khn
US,AL,chilton,32.318231,-86.902298,ACUTE,1000HAB,0.59354,43805,2018,arcgis
US,AL,chilton,32.318231,-86.902298,ICU,1000HAB,0.136971,43805,2019,khn
US,AL,choctaw,32.318231,-86.902298,ICU,1000HAB,1.895663,13188,2018,arcgis
US,AL,clarke,32.318231,-86.902298,ACUTE,1000HAB,3.451777,24625,2018,arcgis
US,AL,clarke,32.318231,-86.902298,ICU,1000HAB,0,24625,2019,khn
US,AL,clay,32.318231,-86.902298,ACUTE,1000HAB,3.356456,13407,2018,arcgis
US,AL,clay,32.318231,-86.902298,ICU,1000HAB,0.298352,13407,2019,khn
US,AL,cleburne,32.318231,-86.902298,ICU,1000HAB,0,14939,2019,khn
US,AL,coffee,32.318231,-86.902298,ACUTE,1000HAB,2.564956,51073,2018,arcgis
US,AL,coffee,32.318231,-86.902298,ICU,1000HAB,0.137059,51073,2019,khn
US,AL,colbert,32.318231,-86.902298,ACUTE,1000HAB,6.668504,54435,2018,arcgis
US,AL,colbert,32.318231,-86.902298,ICU,1000HAB,0.404152,54435,2019,khn
US,AL,conecuh,32.318231,-86.902298,ACUTE,1000HAB,4.585343,12649,2018,arcgis
US,AL,conecuh,32.318231,-86.902298,ICU,1000HAB,0,12649,2019,khn
US,AL,coosa,32.318231,-86.902298,ICU,1000HAB,0,10955,2019,khn
US,AL,covington,32.318231,-86.902298,ACUTE,1000HAB,5.597164,37519,2016,arcgis
US,AL,covington,32.318231,-86.902298,ICU,1000HAB,0.346491,37519,2019,khn
US,AL,crenshaw,32.318231,-86.902298,ACUTE,1000HAB,4.687725,13866,2018,arcgis
US,AL,crenshaw,32.318231,-86.902298,ICU,1000HAB,0,13866,2019,khn
US,AL,crenshaw,32.318231,-86.902298,PSYCHIATRIC,1000HAB,2.019328,13866,2018,arcgis
US,AL,cullman,32.318231,-86.902298,ACUTE,1000HAB,1.774721,81703,2018,arcgis
US,AL,cullman,32.318231,-86.902298,ICU,1000HAB,0.146873,81703,2019,khn
US,AL,cullman,32.318231,-86.902298,PSYCHIATRIC,1000HAB,0.489578,81703,2018,arcgis
US,AL,dale,32.318231,-86.902298,ACUTE,1000HAB,1.801875,49393,2018,arcgis
US,AL,dale,32.318231,-86.902298,ICU,1000HAB,0.121475,49393,2019,khn
US,AL,dallas,32.318231,-86.902298,ACUTE,1000HAB,4.293952,40755,2018,arcgis
US,AL,dallas,32.318231,-86.902298,ICU,1000HAB,0.441664,40755,2019,khn
US,AL,dekalb,32.318231,-86.902298,ACUTE,1000HAB,1.882181,71194,2018,arcgis
US,AL,dekalb,32.318231,-86.902298,ICU,1000HAB,0.168554,71194,2019,khn
US,AL,elmore,32.318231,-86.902298,ACUTE,1000HAB,1.703935,80989,2018,arcgis
US,AL,elmore,32.318231,-86.902298,ICU,1000HAB,0.061737,80989,2019,khn
US,AL,escambia,32.318231,-86.902298,ACUTE,1000HAB,3.774488,37621,2018,arcgis
US,AL,escambia,32.318231,-86.902298,ICU,1000HAB,0.372133,37621,2019,khn
US,AL,etowah,32.318231,-86.902298,ACUTE,1000HAB,6.079587,103132,2018,arcgis
US,AL,etowah,32.318231,-86.902298,ICU,1000HAB,0.542993,103132,2019,khn
US,AL,etowah,32.318231,-86.902298,OTHER,1000HAB,0.426638,103132,2018,arcgis
US,AL,etowah,32.318231,-86.902298,PSYCHIATRIC,1000HAB,0.659349,103132,2018,arcgis
US,AL,fayette,32.318231,-86.902298,ACUTE,1000HAB,3.662124,16657,2018,arcgis
US,AL,fayette,32.318231,-86.902298,ICU,1000HAB,0.720418,16657,2019,khn
US,AL,franklin,32.318231,-86.902298,ACUTE,1000HAB,3.173898,31507,2018,arcgis
US,AL,franklin,32.318231,-86.902298,ICU,1000HAB,0.793474,31507,2018,arcgis
US,AL,geneva,32.318231,-86.902298,ACUTE,1000HAB,3.123589,26572,2018,arcgis
US,AL,geneva,32.318231,-86.902298,ICU,1000HAB,0.225802,26572,2019,khn
US,AL,greene,32.318231,-86.902298,ACUTE,1000HAB,2.343842,8533,2018,arcgis
US,AL,greene,32.318231,-86.902298,ICU,1000HAB,0,8533,2019,khn
US,AL,hale,32.318231,-86.902298,ACUTE,1000HAB,2.600867,14995,2018,arcgis
US,AL,hale,32.318231,-86.902298,ICU,1000HAB,0,14995,2019,khn
US,AL,henry,32.318231,-86.902298,ICU,1000HAB,0,17110,2019,khn
US,AL,houston,32.318231,-86.902298,ACUTE,1000HAB,6.291543,104108,2018,arcgis
US,AL,houston,32.318231,-86.902298,ICU,1000HAB,0.633957,104108,2019,khn
US,AL,houston,32.318231,-86.902298,OTHER,1000HAB,0.854881,104108,2018,arcgis
US,AL,houston,32.318231,-86.902298,PSYCHIATRIC,1000HAB,0.365006,104108,2018,arcgis
US,AL,jackson,32.318231,-86.902298,ACUTE,1000HAB,3.248863,52326,2018,arcgis
US,AL,jackson,32.318231,-86.902298,ICU,1000HAB,0.19111,52326,2019,khn
US,AL,jefferson,32.318231,-86.902298,ACUTE,1000HAB,6.672126,659460,2017,arcgis
US,AL,jefferson,32.318231,-86.902298,ICU,1000HAB,0.714221,659460,2019,khn
US,AL,jefferson,32.318231,-86.902298,OTHER,1000HAB,1.129712,659460,2018,arcgis
US,AL,jefferson,32.318231,-86.902298,PSYCHIATRIC,1000HAB,0.142541,659460,2018,arcgis
US,AL,lamar,32.318231,-86.902298,ICU,1000HAB,0,14021,2019,khn
US,AL,lauderdale,32.318231,-86.902298,ACUTE,1000HAB,3.866508,92590,2018,arcgis
US,AL,lauderdale,32.318231,-86.902298,ICU,1000HAB,0.518415,92590,2019,khn
US,AL,lawrence,32.318231,-86.902298,ACUTE,1000HAB,2.944004,33288,2018,arcgis
US,AL,lawrence,32.318231,-86.902298,ICU,1000HAB,0.180245,33288,2019,khn
US,AL,lee,32.318231,-86.902298,ACUTE,1000HAB,2.005147,156597,2018,arcgis
