,State,One_Month_Cases,One_month_fatality_rate,Total_Deaths,Positive_Test_Rate,HDI,Rank_health,Gross_State_Product,Mobility,doses _per_hundred,assess_to_vaccines_per_hundred,HospitalBeds,lockdown_severity,Chronic.respiratory.diseases.mortality.rate,Lower.respiratory.infections.mortality.rate,obesity_prevalence
1,Alabama,98413,0.372138398,7688,0.214713844,0.877,46,251.8,-81.47692308,8.8,11.08,1.46066963,175.12,72.15,36.78,33.5
2,Alaska,7365,0.213740458,262,0.036226151,0.937,25,58.8,-82.11290323,15.86,22.18,0.78342027,293.77,52.065,17.98,30.1
3,Arizona,238197,0.324390244,13120,0.219362072,0.908,23,402.9,-88.230563,10.27,12.94,0.735384054,255.13,51.555,19.185,27.6
4,Arkansas,70130,0.244864421,4868,0.121432608,0.877,49,144.6,-69.44508671,10.5,14.27,1.574958279,260.2,68.035,37.805,35.6
5,California,998665,0.365080141,40928,0.078626803,0.93,7,3436.7,-130.8009909,10.4,13,1.106924535,364.2,43.265,21.585,23.9
6,Colorado,62088,0.146453901,5640,0.072667162,0.942,12,428.8,-107.3981265,9.92,14.15,1.896442644,306.5,59.245,22.98,21.6
7,Connecticut,64315,0.149162645,7046,0.043799967,0.953,3,309.8,-93.66497462,12.26,16.84,0.996584167,386.18,43.305,27.86,26.1
8,Delaware,246,0.150458716,1090,0.001134145,0.93,15,81.1,-101,10.86,13.7,0.895779889,344.07,52.035,27.235,32.3
9,Florida,398062,0.181502323,26479,0.089853901,0.909,29,1203.7,-97.86510791,9.86,13.77,1.383901265,200.96,48.09,17.4,26.5
10,Georgia,242993,0.229891534,14198,0.140939222,0.902,39,671.5,-93.40664557,9.11,11.99,1.423448652,269.21,62.015,35.4,30.1
11,Hawaii,4327,0.295843521,409,0.026402694,0.94,1,105.6,-198.1677419,10.64,14.17,0.76407125,403.36,28.29,29.52,18.3
12,Idaho,21606,0.167536232,1725,0.269737944,0.907,26,88.9,-36.54117647,8.94,11.98,0.99540679,192.49,58.7,20.825,28.4
13,Illinois,162912,0.154095892,21253,0.070221366,0.929,22,973.8,-118.776618,9.82,12.66,1.492781806,269.4,49.975,30.61,30.9
14,Indiana,115197,0.168732295,11296,0.089340644,0.906,40,406.1,-76.81455399,9.46,12.36,1.031866708,229.01,68.505,29.15,33.9
15,Iowa,37696,0.206080392,4901,0.254774713,0.928,20,209.5,-84.99541284,8.96,12.28,2.726981057,216.84,56.8,24.675,35.3
16,Kansas,51744,0.273692594,3767,0.236973175,0.922,33,186.6,-86.95238095,8.55,11.43,5.272259379,260.69,62.59,29.33,33.7
17,Kentucky,97620,0.299599466,3745,0.101074808,0.881,44,231.9,-97.26865672,10.17,13.61,1.642402635,6,76.61,35.99,35.8
18,Louisiana,85351,0.154757873,8859,0.080006023,0.885,45,283.5,-102.0637255,9.64,13.75,1.277493625,275.9,58.155,36.84,33
19,Maine,15123,0.411864407,590,0.028566095,0.914,19,73.6,-77.69480519,10.55,14.38,1.368229438,228.76,61.235,23.605,30.4
20,Maryland,77811,0.172863758,7127,0.050544021,0.935,8,465.5,-116.5849582,9.32,12.33,1.043382533,307.1,42.355,31.53,28.9
21,Massachusetts,148847,0.14776703,14577,0.038438269,0.956,2,651.8,-127.7855153,10.38,13.42,0.861664545,292.32,44.065,29.185,25.8
22,Michigan,81517,0.161481481,15525,0.065141442,0.912,24,582.9,-96.53781513,9.99,14.14,1.067050081,262.68,55.91,24.865,32.8
23,Minnesota,46505,0.141352904,6268,0.074047404,0.947,10,411.8,-118.3816794,10.2,13.37,1.952618492,291.48,47.22,17.865,29.5
24,Mississippi,59190,0.208105873,6045,0.175216902,0.863,50,128.6,-70.73732719,9.61,12.28,1.99100874,7,69,40.065,35.7
25,Missouri,70118,0.191308053,7041,0.114024709,0.905,41,362,-83.18390805,8.55,11.32,1.446740593,263.07,62.32,30.225,33.1
26,Montana,12394,0.220600162,1233,0.098222874,0.917,28,56.6,-48.75568182,10.22,13.97,5.727956594,227.87,65.565,23.15,25.8
27,Nebraska,23915,0.140104167,1920,0.090810395,0.934,27,136.4,-95.14516129,8.93,12.81,2.437555912,251.74,62.875,23.035,33.3
28,Nevada,53577,0.268852459,4270,0.111857926,0.902,31,195,-127.6814159,9.72,12.31,1.051008,219.08,64.585,32.935,26.9
29,New Hampshire,21667,0.281929991,1057,0.052049785,0.943,16,97.3,-77.50769231,9.62,13.54,1.083784542,92.43,55.2,20.35,30.2
30,New Jersey,167802,0.113665984,21484,0.074067913,0.943,6,699.9,-109.8865979,10.26,13.47,1.109198061,302.01,40.41,28.025,27.7
31,New Mexico,31200,0.245507158,3283,0.074276656,0.9,34,112.9,-123.6317568,12.6,17.64,1.056109313,336.52,56.27,23.855,25.1
32,New York,441124,0.129509098,43634,0.044148933,0.942,13,1881.6,-123.9745308,9.61,13.47,1.131931172,383.93,39.08,30.995,26.4
33,North Carolina,217981,0.277129084,9335,0.084700146,0.905,30,641.4,-95.02362205,10.01,13.18,1.303402841,354.5,59.6,31.45,29.9
34,North Dakota,5134,0.102280581,1447,0.072532743,0.942,38,60.8,-73.02197802,11.93,17.53,2.967054031,154.68,48.09,22.575,34.1
35,Ohio,195412,0.19803132,11175,0.098719979,0.913,35,755.8,-80.03811252,9.48,12.48,1.447583824,284.78,62.54,27.865,33.6
36,Oklahoma,98536,0.298280237,3547,0.122290383,0.894,47,219.8,-75.65533981,11.43,15.88,1.798912752,206.36,76.015,31.275,35.3
37,Oregon,28507,0.245273378,1957,0.045029168,0.929,17,276.3,-84.45758929,10.3,13.97,1.301507746,329.39,55.67,16.48,29
38,Pennsylvania,200656,0.262293565,21617,0.188833747,0.922,21,884.6,-98.69957082,9.5,12.46,1.387169078,305.28,49.99,28.915,31.3
39,Rhode Island,26489,0.175023213,2154,0.045825223,0.92,5,69.7,-101.109375,8.47,12.08,1.036903909,314.1,47.22,25.835,28.2
40,South Carolina,135879,0.247940926,7042,0.104880752,0.89,36,271.4,-75.42465753,9.47,12.21,1.19013328,236.71,62.545,28.795,31.7
41,South Dakota,9086,0.163104612,1778,0.268868616,0.929,32,57.2,-20.31182796,11.06,16.02,2.244549605,80.02,54.04,24.475,30.2
42,Tennessee,141059,0.284248705,9650,0.113059815,0.892,43,415.4,-81.56115108,8.71,12.69,1.383394817,240.31,65.3,34.11,33
43,Texas,603560,0.242973512,37074,0.136578402,0.909,37,2067.4,-90.93963255,9.47,12.79,1.535308107,233.95,53.34,29.34,31.5
44,Utah,70012,0.237837838,1665,0.132940701,0.93,9,208.7,-74.39694656,9.58,15.92,1.1541667,95.06,46.19,26.72,27
45,Vermont,4553,0.218390805,174,0.01333369,0.936,11,38.1,-132.3064516,10.74,15.53,1.127584409,386.52,56.305,16.8,27.6
46,Virginia,155195,0.221534653,6464,0.096439444,0.929,18,603.4,-126.9163763,11.07,14.33,1.150590952,282.68,50.87,32.785,29.4
47,Washington,64845,0.192298716,4285,0.068509373,0.94,4,664.9,-84.27355072,10.47,13.66,1.558912441,358.26,51.31,17.385,29
48,West Virginia,35667,0.338932806,2024,0.062192797,0.872,48,82.8,-108.9527559,12.63,19.02,2.214970659,227.75,80.59,33.275,39
